"Title","TitleEng","Category","CategoryTitle"
"Totaal mobiele bronnen","Total mobile sources","Total","Total"
"Totaal binnenlands verkeer en vervoer","Total national traffic and transportation",,
"Totaal wegverkeer","Total road traffic","Road","Total"
"Wegverkeer-personenauto's","Road traffic-cars","Road","People"
"Wegverkeer-vrachtvoertuigen","Road traffic-transport vehicles","Road","Cargo"
"Wegverkeer-overig","Road traffic-other","Road","Other"
"Totaal binnenvaart","Total inland shipping","Inland shipping","Total"
"Binnenvaart-personenvervoer","Inland shipping-personal transport","Inland shipping","People"
"Binnenvaart-vrachtvervoer","Inland shipping-cargo transport","Inland shipping","Cargo"
"Binnenvaart-recreatievaartuigen","Inland shipping-recreational vessels","Inland shipping","Recreational"
"Visserij","Fishing","Fishing","Fishing"
"Totaal spoorwegen","Total rail","Rail","Total"
"Spoorwegen-personenvervoer","Rail-personal transport","Rail","People"
"Spoorwegen-vrachtvervoer","Rail-cargo transport","Rail","Cargo"
"Luchtvaart","Air traffic","Air","Total"
"Zeevaart binnengaats","Sea shipping inland","Sea","Inland"
"Zeevaart op Nederlands Continentaal Plat","Sea shipping Dutch Continental Shelf","Sea","Dutch Continental Shelf"
"Totaal mobiele werktuigen","Total mobile equipment","Mobile equipment","Total"
"Mobiele werktuigen in de landbouw","Mobile equipment in agriculture","Mobile equipment","Agriculture"
"Mobiele werktuigen in de bouwnijverheid","Mobile equipment in construction","Mobile equipment","Construction"
"Mobiele werktuigen in overige sectoren","Mobile equipment in other sectors","Mobile equipment","Other"
"Totaal wegverkeer","Total road traffic","Total","Road"
"Totaal binnenvaart","Total inland shipping","Total","Inland shipping"
"Visserij","Fishing","Total","Fishing"
"Totaal spoorwegen","Total rail","Total","Rail"
"Luchtvaart","Air traffic","Total","Air"
"Totaal mobiele werktuigen","Total mobile equipment","Total","Mobile equipment"
"Zeevaart binnengaats","Sea shipping inland","Total","Sea Inland"
